'1','Acatlán'
'2','Acaxochitlán'
'3','Actopan'
'4','Agua Blanca de Iturbide'
'5','Ajacuba'
'6','Alfajayucan'
'7','Almoloya'
'8','Apan'
'9','Arenal, El'
'10','Atitalaquia'
'11','Atlapexco'
'12','Atotonilco el Grande'
'13','Atotonilco de Tula'
'14','Calnali'
'15','Cardonal'
'16','Cuautepec de Hinojosa'
'17','Chapantongo'
'18','Chapulhuacán'
'19','Chilcuautla'
'20','Eloxochitlán'
'21','Emiliano Zapata'
'22','Epazoyucan'
'23','Francisco I. Madero'
'24','Huasca de Ocampo'
'25','Huautla'
'26','Huazalingo'
'27','Huehuetla'
'28','Huejutla de Reyes'
'29','Huichapan'
'30','Ixmiquilpan'
'31','Jacala de Ledezma'
'32','Jaltocán'
'33','Juárez Hidalgo'
'34','Lolotla'
'35','Metepec'
'36','San Agustín Metzquititlán'
'37','Metztitlán'
'38','Mineral del Chico'
'39','Mineral del Monte'
'40','Misión, La'
'41','Mixquiahuala'
'42','Molango de Escamilla'
'43','Nicolás Flores'
'44','Nopala de Villagrán'
'45','Omitlán de Juárez'
'46','San Felipe Orizatlán'
'47','Pacula'
'48','Pachuca de Soto'
'49','Pisaflores'
'50','Progreso de Obregón'
'51','Mineral de la Reforma'
'52','San Agustín Tlaxiaca'
'53','San Bartolo Tutotepec'
'54','San Salvador'
'55','Santiago de Anaya'
'56','Santiago Tulantepec'
'57','Singuilucan'
'58','Tasquillo'
'59','Tecozautla'
'60','Tenango de Doria'
'61','Tepeapulco'
'62','Tepehuacán de Guerrero'
'63','Tepeji del Río de Ocampo'
'64','Tepetitlán'
'65','Tetepango'
'66','Villa de Tezontepec'
'67','Tezontepec de Aldama'
'68','Tianguistengo'
'69','Tizayuca'
'70','Tlahuelilpan'
'71','Tlahuiltepa'
'72','Tlanalapa'
'73','Tlanchinol'
'74','Tlaxcoapan'
'75','Tolcayuca'
'76','Tula de Allende'
'77','Tulancingo de Bravo'
'78','Xochiatipan'
'79','Xochicoatlán'
'80','Yahualica'
'81','Zacualtipán'
'82','Zapotlán de Juárez'
'83','Zempoala'
'84','Zimapán'
